compound,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63
LY 294002 hydrochloride,0.9198565,0.7139038,-0.27337795,0.72309184,0.82625854,-0.03643423,-0.15828617,0.5934756,0.47503915,0.6189809,0.49055386,0.45320278,-1.0130305,-0.011272458,0.346919,-0.46330765,-0.44107157,0.36416793,-0.584619,-0.10297363,0.8570165,-0.032453127,0.18450968,-0.15818767,-1.253044,1.2542666,-1.6985626,0.05534787,1.2206786,-0.99502194,2.470315,0.47798783,1.5773852,-2.7741296,-2.1871495,-0.5104769,1.3440329,-1.3176613,1.0662967,-0.30976012,0.49029985,0.091145344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMS,0.011874174,-1.2998091,-0.5530063,-1.0431803,-1.0148544,0.20418109,0.18540247,0.9835419,0.104130104,0.819664,0.9930618,-0.7872738,0.840368,1.2237532,-0.22297834,-0.42319348,-0.4002818,-0.09444594,-0.8436244,-0.18557118,-0.26046786,-0.40610015,0.20755845,0.58909816,-0.42479822,-0.7085215,-0.8625318,0.20818569,-0.44370517,0.59720683,0.64101887,-0.36829484,-0.7953795,-0.46176735,0.5867641,-0.55695033,0.018865535,0.82678896,0.6314474,0.033438504,0.5751977,-0.18325904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaCl,0.6186895,-3.281199,-1.6293745,1.8404107,0.93032724,-1.710058,0.07834427,0.46935183,-1.830591,0.5686434,0.51720387,2.1002986,-1.8633722,1.524861,-0.28834364,-0.4680729,-0.30523688,-0.99941814,0.18772611,0.36522034,-0.5591962,0.16649401,0.1367813,1.6759558,0.15517396,-0.3821718,0.56246984,-0.7234272,-0.39700305,-0.1869016,-0.3500284,0.20665503,-0.05019613,0.20404743,-0.19695173,-0.12761675,-0.52009207,-0.033021804,0.09193992,0.27328795,-0.29838648,-0.027908308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neomycin B,-1.0630246,-0.55389416,0.13796441,0.773762,-0.25759012,1.5792664,-0.95270056,-0.47568053,0.5348755,0.10108931,-0.4616216,-0.07680559,-0.39127493,0.33486706,0.13578202,-0.3163099,-0.5063804,0.4764714,-0.7687741,-0.5549281,0.5594072,-0.2957933,0.39742932,0.4368765,0.46435222,-0.11920571,-0.03860372,-0.04731784,-0.03178298,-0.14985508,-0.06150862,-0.3898104,-0.022993619,0.14974873,-0.034200486,-0.048001695,0.23934078,0.47544572,0.010214883,0.07268013,0.46225703,0.48255348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigericin,-1.6975874,0.4851761,-1.5665599,0.6181718,0.5575858,1.1907804,1.9723729,-2.5553927,1.4767715,0.38769573,0.7032561,-2.2846346,-1.874511,2.8374238,-0.28889048,1.1218513,-0.14693533,-0.38036796,0.48544627,0.359217,-0.24338862,-0.4837362,-0.8185303,-0.11887182,0.012261033,0.552624,0.28511995,0.059660412,0.5207108,-0.25025815,0.2654755,0.060976565,-0.6437928,0.018497547,0.06293592,0.2324459,-0.13559268,0.026693245,-0.27337956,-0.16998968,0.0098749865,-0.20748527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nocodazole,1.034266,0.515603,0.647551,0.0020548645,-0.77289623,0.4501742,-0.36818612,0.778951,0.37918556,0.5100158,2.0382097,-0.5326956,-0.5213906,-0.44307655,1.0764863,-1.1146051,-1.0797021,-1.4159081,0.23791778,-0.32474795,0.07723809,-0.28149024,0.17116848,0.19104984,0.10399163,2.4859033,1.3658264,0.24597336,-1.0918274,1.6756973,-1.3615652,-1.0050801,-2.9512599,-0.5709529,-1.214156,0.2970614,0.12073898,-0.87552005,0.64443284,0.6121248,0.58735335,0.113273345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nystatin dihydrate,-1.7266365,0.009091471,0.8671829,0.30871424,2.3065643,0.89853704,-1.6751853,-0.76973796,-0.8815771,-0.39898995,0.89895445,0.6073864,1.6991827,-0.09778082,0.1836495,0.09551849,-0.6144495,-0.28829262,0.28797862,-0.16137369,-0.023311608,-1.0265846,0.06558003,0.09512225,-0.39583734,0.19824612,0.06846306,-0.21688741,-0.25964203,-0.10358137,0.028863357,0.50598663,-0.20481947,0.017504534,-0.12027879,-0.22940767,0.061247863,-0.5553551,-0.21306145,-0.29392758,-0.92838883,-4.4672837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oligomycin,-2.129781,0.3630433,1.3015138,0.8668184,0.32435104,-1.591259,-0.070076086,-0.38119882,-0.8397931,0.30809262,-0.41577855,-2.09711,-0.6655991,-1.7350794,-2.2270927,-2.7756531,-0.4657059,-0.5691599,-1.0474644,2.3662093,-1.0602946,1.0459523,-0.3792458,0.06353908,-0.13263609,0.23739102,-0.30755904,0.10973514,-0.30632982,-0.070450835,0.11434277,-0.2757435,0.22163251,-0.2526917,0.49114344,0.12322281,0.31885388,0.056934588,0.032698177,0.18114291,0.023138672,0.36124003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parthenolide,-0.31528533,0.2748664,-1.633966,-0.44923657,-0.35694218,-1.288506,-0.6270064,-0.40339014,0.5801397,0.30664194,1.0111731,-0.5516261,-0.58115333,-0.85197914,1.1706294,-1.2512869,1.350011,0.021855747,0.2778285,-1.6029339,0.43796325,-0.33106443,-1.7180563,-1.6467978,-1.0262027,-0.6290733,-1.7994822,-2.8986382,-2.0740252,0.1950434,-0.8148121,-0.43413335,0.87500983,0.9627283,-0.14719388,-0.4522365,-0.16516921,-0.090105005,-0.33414915,-0.19035466,0.056157954,-0.17868045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pentamidine isethionate,0.21833906,-0.3477439,0.80086225,-0.7775103,0.16450669,0.5634711,0.21744987,0.5913836,0.6616664,-0.15157074,0.6028045,-0.5421223,0.42442402,0.37409744,-0.726892,0.5941898,0.06725284,-0.7640882,-0.773554,-0.0070180316,0.022900198,0.59501296,1.0534955,0.5899933,1.6551249,-0.6123356,-1.7412847,-0.14399211,-1.5091858,-0.5933846,1.5431011,-1.2694312,-0.50991,-0.7579746,-1.108529,-2.4497135,-3.187285,1.2576498,-1.0730021,0.81607985,0.3164002,-0.114560165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
